ID_Produto,Nome,Valor,Tipo
1,Smartphone X1,1999.90,1
2,Notebook Pro 15,4599.00,1
3,Arroz Tipo 1,25.50,2
4,Feijão Carioca,8.30,2
5,Camiseta Algodão,39.90,3
6,Calça Jeans,120.00,3
7,Detergente Líquido,3.20,4
8,Desinfetante Lavanda,7.90,4
9,Shampoo Revitalizante,15.50,5
10,Hidratante Corporal,22.00,5
11,Sofá 3 Lugares,1599.00,6
12,Mesa de Jantar,899.90,6
13,Quebra-Cabeça 500 peças,29.90,7
14,Boneca de Pano,45.00,7
15,Mouse Sem Fio,59.99,8
16,Teclado Mecânico,250.00,8
17,Furadeira Elétrica,320.00,9
18,Chave de Fenda,15.00,9
19,Óleo para Motor,89.00,10
20,Limpador de Para-brisa,25.00,10
21,Caderno Universitário,18.00,11
22,Caneta Esferográfica,2.50,11
23,Bola de Futebol,99.90,12
24,Bicicleta Aro 29,1299.00,12
25,Vaso Decorativo,45.00,13
26,Abajur de Mesa,79.90,13
27,Refrigerante Cola 2L,8.50,14
28,Vinho Tinto Seco,45.00,14
29,Ração Cães Adultos,120.00,15
30,Areia para Gato,35.00,15
31,Tesoura de Poda,48.00,16
32,Regador 5L,22.90,16
33,Perfume Floral 100ml,89.90,17
34,Colônia Masculina,110.00,17
35,Tênis Esportivo,199.90,18
36,Sandália Feminina,85.00,18
37,Romance Bestseller,49.90,19
38,Livro Infantil,25.00,19
39,Liquidificador 800W,179.90,20
40,Micro-ondas 20L,499.00,20
